título,años,reparto,ranking,valoración,votaciones
Taxi Driver,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",114,8.22,832938
"Nader y Simin, una separación",2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",115,8.22,246096
Metrópolis,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",116,8.22,175387
,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",117,8.22,584261
Jungla de cristal,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",118,8.22,878907
,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",119,8.22,856779
Indiana Jones y la última cruzada,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",120,8.22,755535
Ladrón de bicicletas,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",121,8.22,164570
Taare Zameen Par,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",122,8.21,194414
1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",123,8.21,588561
El hundimiento,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",124,8.2,357044
La muerte tenía un precio,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",125,8.2,258019
Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",126,8.2,192185
Batman Begins,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",127,8.2,1469413
El chico,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",128,8.19,127270
Con faldas y a lo loco,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",129,8.19,268451
El padre,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",130,8.18,154220
Eva al desnudo,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",131,8.18,132223
Green Book,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",132,8.18,491966
El lobo de Wall Street,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",133,8.18,1406436
Vencedores o vencidos,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",134,8.17,78368
Ran,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",135,8.16,126613
Casino,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",136,8.16,521494
El laberinto del fauno,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",137,8.16,670373
Sin perdón,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",138,8.16,413441
Pozos de ambición,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",139,8.16,587814
El show de Truman,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",140,8.16,1080713
El sexto sentido,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",141,8.15,992392
Una mente maravillosa,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",142,8.15,933109
Shutter Island,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",143,8.15,1312166
Yojimbo,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",144,8.15,123826
Los caballeros de la mesa cuadrada y sus locos seguidores,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",145,8.15,542871
El tesoro de Sierra Madre,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",146,8.15,125838
Spider-Man: No Way Home,2021,"Jon Watts (dir.), Tom Holland, Zendaya",147,8.15,751594
Jurassic Park (Parque Jurásico),1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",148,8.15,988117
La gran evasión,1963,"John Sturges (dir.), Steve McQueen, James Garner",149,8.14,245691
Rashomon,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",150,8.14,169646
Kill Bill: Volumen 1,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",151,8.14,1115505
No es país para viejos,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",152,8.14,973217
La cosa (El enigma de otro mundo),1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",153,8.13,426924
Buscando a Nemo,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",154,8.13,1043555
El hombre elefante,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",155,8.13,242672
Chinatown,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",156,8.13,328135
Toro salvaje,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",157,8.13,355553
V de vendetta,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",158,8.12,1122584
Lo que el viento se llevó,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",159,8.12,316829
Del revés (Inside Out),2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",160,8.12,713882
Lock & Stock,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",161,8.12,583557
Crimen perfecto,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",162,8.12,177113
El secreto de sus ojos,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",163,8.12,210813
El castillo ambulante,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",164,8.12,396450
El puente sobre el río Kwai,1957,"David Lean (dir.), William Holden, Alec Guinness",165,8.11,221984
Tres anuncios en las afueras,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",166,8.11,507916
Trainspotting,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",167,8.11,688434
